path,load_functions,to_arg_functions,access_callback,access_arguments,page_callback,page_arguments,delivery_callback,fit,number_parts,context,tab_parent,tab_root,title,title_callback,title_arguments,theme_callback,theme_arguments,type,description,position,weight,include_file
admin/config/content/diff/entities/node,b'',b'',user_access,"b'a:1:{i:0;s:29:""administer site configuration"";}'",drupal_get_form,"b'a:2:{i:0;s:33:""diff_admin_global_entity_settings"";i:1;s:4:""node"";}'",,63,6,1,admin/config/content/diff/entities,admin/config/content/diff,Node,t,,,a:0:{},140,,,-10,profiles/haskala/modules/contrib/diff/diff.admin.inc
admin/config/content/diff/fields,b'',b'',user_access,"b'a:1:{i:0;s:29:""administer site configuration"";}'",diff_admin_field_overview,b'a:0:{}',,31,5,1,admin/config/content/diff,admin/config/content/diff,Fields,t,,,a:0:{},132,Field support and settings overview.,,0,profiles/haskala/modules/contrib/diff/diff.admin.inc
admin/config/content/diff/fields/%,b'a:1:{i:5;N;}',b'',user_access,"b'a:1:{i:0;s:29:""administer site configuration"";}'",drupal_get_form,"b'a:2:{i:0;s:32:""diff_admin_global_field_settings"";i:1;i:5;}'",,62,6,0,,admin/config/content/diff/fields/%,Global field settings,t,,,a:0:{},4,,,0,profiles/haskala/modules/contrib/diff/diff.admin.inc
admin/config/content/diff/settings,b'',b'',user_access,"b'a:1:{i:0;s:29:""administer site configuration"";}'",drupal_get_form,"b'a:1:{i:0;s:19:""diff_admin_settings"";}'",,31,5,1,admin/config/content/diff,admin/config/content/diff,Settings,t,,,a:0:{},140,,,-10,profiles/haskala/modules/contrib/diff/diff.admin.inc
admin/config/content/formats,b'',b'',user_access,"b'a:1:{i:0;s:18:""administer filters"";}'",drupal_get_form,"b'a:1:{i:0;s:21:""filter_admin_overview"";}'",,15,4,0,,admin/config/content/formats,Text formats,t,,,a:0:{},6,"Configure how content input by users is filtered, including allowed HTML tags. Also allows enabling of module-provided filters.",,0,modules/filter/filter.admin.inc
admin/config/content/formats/%,"b'a:1:{i:4;s:18:""filter_format_load"";}'",b'',user_access,"b'a:1:{i:0;s:18:""administer filters"";}'",filter_admin_format_page,b'a:1:{i:0;i:4;}',,30,5,0,,admin/config/content/formats/%,,filter_admin_format_title,a:1:{i:0;i:4;},,a:0:{},6,,,0,modules/filter/filter.admin.inc
admin/config/content/formats/%/disable,"b'a:1:{i:4;s:18:""filter_format_load"";}'",b'',_filter_disable_format_access,b'a:1:{i:0;i:4;}',drupal_get_form,"b'a:2:{i:0;s:20:""filter_admin_disable"";i:1;i:4;}'",,61,6,0,,admin/config/content/formats/%/disable,Disable text format,t,,,a:0:{},6,,,0,modules/filter/filter.admin.inc
admin/config/content/formats/add,b'',b'',user_access,"b'a:1:{i:0;s:18:""administer filters"";}'",filter_admin_format_page,b'a:0:{}',,31,5,1,admin/config/content/formats,admin/config/content/formats,Add text format,t,,,a:0:{},388,,,1,modules/filter/filter.admin.inc
admin/config/content/formats/list,b'',b'',user_access,"b'a:1:{i:0;s:18:""administer filters"";}'",drupal_get_form,"b'a:1:{i:0;s:21:""filter_admin_overview"";}'",,31,5,1,admin/config/content/formats,admin/config/content/formats,List,t,,,a:0:{},140,,,0,modules/filter/filter.admin.inc
admin/config/development,b'',b'',user_access,"b'a:1:{i:0;s:27:""access administration pages"";}'",system_admin_menu_block_page,b'a:0:{}',,7,3,0,,admin/config/development,Development,t,,,a:0:{},6,Development tools.,right,-10,modules/system/system.admin.inc
admin/config/development/jquery_update,b'',b'',user_access,"b'a:1:{i:0;s:29:""administer site configuration"";}'",drupal_get_form,"b'a:1:{i:0;s:27:""jquery_update_settings_form"";}'",,15,4,0,,admin/config/development/jquery_update,jQuery update,t,,,a:0:{},6,"Configure settings related to the jQuery upgrade, the library path and compression.",,0,
admin/config/development/logging,b'',b'',user_access,"b'a:1:{i:0;s:29:""administer site configuration"";}'",drupal_get_form,"b'a:1:{i:0;s:23:""system_logging_settings"";}'",,15,4,0,,admin/config/development/logging,Logging and errors,t,,,a:0:{},6,"Settings for logging and alerts modules. Various modules can route Drupal's system events to different destinations, such as syslog, database, email, etc.",,-15,modules/system/system.admin.inc
admin/config/development/maintenance,b'',b'',user_access,"b'a:1:{i:0;s:29:""administer site configuration"";}'",drupal_get_form,"b'a:1:{i:0;s:28:""system_site_maintenance_mode"";}'",,15,4,0,,admin/config/development/maintenance,Maintenance mode,t,,,a:0:{},6,Take the site offline for maintenance or bring it back online.,,-10,modules/system/system.admin.inc
admin/config/development/performance,b'',b'',user_access,"b'a:1:{i:0;s:29:""administer site configuration"";}'",drupal_get_form,"b'a:1:{i:0;s:27:""system_performance_settings"";}'",,15,4,0,,admin/config/development/performance,Performance,t,,,a:0:{},6,Enable or disable page caching for anonymous users and set CSS and JS bandwidth optimization options.,,-20,modules/system/system.admin.inc
admin/config/development/strongarm,b'',b'',user_access,"b'a:1:{i:0;s:29:""administer site configuration"";}'",drupal_get_form,"b'a:1:{i:0;s:20:""strongarm_admin_form"";}'",,15,4,0,,admin/config/development/strongarm,Strongarm,t,,,a:0:{},6,Manage Drupal variable settings that have been strongarmed.,,0,profiles/haskala/modules/contrib/strongarm/strongarm.admin.inc
admin/config/media,b'',b'',user_access,"b'a:1:{i:0;s:27:""access administration pages"";}'",system_admin_menu_block_page,b'a:0:{}',,7,3,0,,admin/config/media,Media,t,,,a:0:{},6,Media tools.,left,-10,modules/system/system.admin.inc
admin/config/media/file-system,b'',b'',user_access,"b'a:1:{i:0;s:29:""administer site configuration"";}'",drupal_get_form,"b'a:1:{i:0;s:27:""system_file_system_settings"";}'",,15,4,0,,admin/config/media/file-system,File system,t,,,a:0:{},6,Tell Drupal where to store uploaded files and how they are accessed.,,-10,modules/system/system.admin.inc
admin/config/media/image-styles,b'',b'',user_access,"b'a:1:{i:0;s:23:""administer image styles"";}'",image_style_list,b'a:0:{}',,15,4,0,,admin/config/media/image-styles,Image styles,t,,,a:0:{},6,Configure styles that can be used for resizing or adjusting images on display.,,0,modules/image/image.admin.inc
admin/config/media/image-styles/add,b'',b'',user_access,"b'a:1:{i:0;s:23:""administer image styles"";}'",drupal_get_form,"b'a:1:{i:0;s:20:""image_style_add_form"";}'",,31,5,1,admin/config/media/image-styles,admin/config/media/image-styles,Add style,t,,,a:0:{},388,Add a new image style.,,2,modules/image/image.admin.inc
admin/config/media/image-styles/delete/%,"b'a:1:{i:5;a:1:{s:16:""image_style_load"";a:2:{i:0;N;i:1;s:1:""1"";}}}'",b'',user_access,"b'a:1:{i:0;s:23:""administer image styles"";}'",drupal_get_form,"b'a:2:{i:0;s:23:""image_style_delete_form"";i:1;i:5;}'",,62,6,0,,admin/config/media/image-styles/delete/%,Delete style,t,,,a:0:{},6,Delete an image style.,,0,modules/image/image.admin.inc
admin/config/media/image-styles/edit/%,"b'a:1:{i:5;s:16:""image_style_load"";}'",b'',user_access,"b'a:1:{i:0;s:23:""administer image styles"";}'",drupal_get_form,"b'a:2:{i:0;s:16:""image_style_form"";i:1;i:5;}'",,62,6,0,,admin/config/media/image-styles/edit/%,Edit style,t,,,a:0:{},6,Configure an image style.,,0,modules/image/image.admin.inc
admin/config/media/image-styles/edit/%/add/%,"b'a:2:{i:5;a:1:{s:16:""image_style_load"";a:1:{i:0;i:5;}}i:7;a:1:{s:28:""image_effect_definition_load"";a:1:{i:0;i:5;}}}'",b'',user_access,"b'a:1:{i:0;s:23:""administer image styles"";}'",drupal_get_form,"b'a:3:{i:0;s:17:""image_effect_form"";i:1;i:5;i:2;i:7;}'",,250,8,0,,admin/config/media/image-styles/edit/%/add/%,Add image effect,t,,,a:0:{},6,Add a new effect to a style.,,0,modules/image/image.admin.inc
admin/config/media/image-styles/edit/%/effects/%,"b'a:2:{i:5;a:1:{s:16:""image_style_load"";a:2:{i:0;i:5;i:1;s:1:""3"";}}i:7;a:1:{s:17:""image_effect_load"";a:2:{i:0;i:5;i:1;s:1:""3"";}}}'",b'',user_access,"b'a:1:{i:0;s:23:""administer image styles"";}'",drupal_get_form,"b'a:3:{i:0;s:17:""image_effect_form"";i:1;i:5;i:2;i:7;}'",,250,8,0,,admin/config/media/image-styles/edit/%/effects/%,Edit image effect,t,,,a:0:{},6,Edit an existing effect within a style.,,0,modules/image/image.admin.inc
admin/config/media/image-styles/edit/%/effects/%/delete,"b'a:2:{i:5;a:1:{s:16:""image_style_load"";a:2:{i:0;i:5;i:1;s:1:""3"";}}i:7;a:1:{s:17:""image_effect_load"";a:2:{i:0;i:5;i:1;s:1:""3"";}}}'",b'',user_access,"b'a:1:{i:0;s:23:""administer image styles"";}'",drupal_get_form,"b'a:3:{i:0;s:24:""image_effect_delete_form"";i:1;i:5;i:2;i:7;}'",,501,9,0,,admin/config/media/image-styles/edit/%/effects/%/delete,Delete image effect,t,,,a:0:{},6,Delete an existing effect from a style.,,0,modules/image/image.admin.inc
admin/config/media/image-styles/list,b'',b'',user_access,"b'a:1:{i:0;s:23:""administer image styles"";}'",image_style_list,b'a:0:{}',,31,5,1,admin/config/media/image-styles,admin/config/media/image-styles,List,t,,,a:0:{},140,List the current image styles on the site.,,1,modules/image/image.admin.inc
admin/config/media/image-styles/revert/%,"b'a:1:{i:5;a:1:{s:16:""image_style_load"";a:2:{i:0;N;i:1;s:1:""2"";}}}'",b'',user_access,"b'a:1:{i:0;s:23:""administer image styles"";}'",drupal_get_form,"b'a:2:{i:0;s:23:""image_style_revert_form"";i:1;i:5;}'",,62,6,0,,admin/config/media/image-styles/revert/%,Revert style,t,,,a:0:{},6,Revert an image style.,,0,modules/image/image.admin.inc
admin/config/media/image-toolkit,b'',b'',user_access,"b'a:1:{i:0;s:29:""administer site configuration"";}'",drupal_get_form,"b'a:1:{i:0;s:29:""system_image_toolkit_settings"";}'",,15,4,0,,admin/config/media/image-toolkit,Image toolkit,t,,,a:0:{},6,Choose which image toolkit to use if you have installed optional toolkits.,,20,modules/system/system.admin.inc
admin/config/people,b'',b'',user_access,"b'a:1:{i:0;s:27:""access administration pages"";}'",system_admin_menu_block_page,b'a:0:{}',,7,3,0,,admin/config/people,People,t,,,a:0:{},6,Configure user accounts.,left,-20,modules/system/system.admin.inc
admin/config/people/accounts,b'',b'',user_access,"b'a:1:{i:0;s:16:""administer users"";}'",drupal_get_form,"b'a:1:{i:0;s:19:""user_admin_settings"";}'",,15,4,0,,admin/config/people/accounts,Account settings,t,,,a:0:{},6,"Configure default behavior of users, including registration requirements, e-mails, fields, and user pictures.",,-10,modules/user/user.admin.inc
admin/config/people/accounts/groups/%/delete,"b'a:1:{i:5;a:1:{s:21:""field_group_menu_load"";a:4:{i:0;s:4:""user"";i:1;s:4:""user"";i:2;s:1:""0"";i:3;s:4:""%map"";}}}'",b'',user_access,"b'a:1:{i:0;s:16:""administer users"";}'",drupal_get_form,"b'a:2:{i:0;s:23:""field_group_delete_form"";i:1;i:5;}'",,125,7,0,,admin/config/people/accounts/groups/%/delete,Delete,t,,,a:0:{},0,,,0,profiles/haskala/modules/contrib/field_group/field_group.field_ui.inc
admin/config/people/accounts/groups/%/enable,"b'a:1:{i:5;a:1:{s:21:""field_group_menu_load"";a:4:{i:0;s:4:""user"";i:1;s:4:""user"";i:2;s:1:""0"";i:3;s:4:""%map"";}}}'",b'',user_access,"b'a:1:{i:0;s:16:""administer users"";}'",drupal_get_form,"b'a:2:{i:0;s:23:""field_group_enable_form"";i:1;i:5;}'",,125,7,0,,admin/config/people/accounts/groups/%/enable,Enable,t,,,a:0:{},0,,,0,profiles/haskala/modules/contrib/field_group/field_group.field_ui.inc
admin/config/people/accounts/settings,b'',b'',user_access,"b'a:1:{i:0;s:16:""administer users"";}'",drupal_get_form,"b'a:1:{i:0;s:19:""user_admin_settings"";}'",,31,5,1,admin/config/people/accounts,admin/config/people/accounts,Settings,t,,,a:0:{},140,,,-10,modules/user/user.admin.inc
admin/config/people/ip-blocking,b'',b'',user_access,"b'a:1:{i:0;s:18:""block IP addresses"";}'",system_ip_blocking,b'a:0:{}',,15,4,0,,admin/config/people/ip-blocking,IP address blocking,t,,,a:0:{},6,Manage blocked IP addresses.,,10,modules/system/system.admin.inc
admin/config/people/ip-blocking/delete/%,"b'a:1:{i:5;s:15:""blocked_ip_load"";}'",b'',user_access,"b'a:1:{i:0;s:18:""block IP addresses"";}'",drupal_get_form,"b'a:2:{i:0;s:25:""system_ip_blocking_delete"";i:1;i:5;}'",,62,6,0,,admin/config/people/ip-blocking/delete/%,Delete IP address,t,,,a:0:{},6,,,0,modules/system/system.admin.inc
admin/config/regional,b'',b'',user_access,"b'a:1:{i:0;s:27:""access administration pages"";}'",system_admin_menu_block_page,b'a:0:{}',,7,3,0,,admin/config/regional,Regional and language,t,,,a:0:{},6,"Regional settings, localization and translation.",left,-5,modules/system/system.admin.inc
admin/config/regional/date-time,b'',b'',user_access,"b'a:1:{i:0;s:29:""administer site configuration"";}'",drupal_get_form,"b'a:1:{i:0;s:25:""system_date_time_settings"";}'",,15,4,0,,admin/config/regional/date-time,Date and time,t,,,a:0:{},6,Configure display formats for date and time.,,-15,modules/system/system.admin.inc
admin/config/regional/date-time/formats,b'',b'',user_access,"b'a:1:{i:0;s:29:""administer site configuration"";}'",system_date_time_formats,b'a:0:{}',,31,5,1,admin/config/regional/date-time,admin/config/regional/date-time,Formats,t,,,a:0:{},132,Configure display format strings for date and time.,,-9,modules/system/system.admin.inc
admin/config/regional/date-time/formats/%/delete,b'a:1:{i:5;N;}',b'',user_access,"b'a:1:{i:0;s:29:""administer site configuration"";}'",drupal_get_form,"b'a:2:{i:0;s:30:""system_date_delete_format_form"";i:1;i:5;}'",,125,7,0,,admin/config/regional/date-time/formats/%/delete,Delete date format,t,,,a:0:{},6,Allow users to delete a configured date format.,,0,modules/system/system.admin.inc
admin/config/regional/date-time/formats/%/edit,b'a:1:{i:5;N;}',b'',user_access,"b'a:1:{i:0;s:29:""administer site configuration"";}'",drupal_get_form,"b'a:2:{i:0;s:34:""system_configure_date_formats_form"";i:1;i:5;}'",,125,7,0,,admin/config/regional/date-time/formats/%/edit,Edit date format,t,,,a:0:{},6,Allow users to edit a configured date format.,,0,modules/system/system.admin.inc
admin/config/regional/date-time/formats/add,b'',b'',user_access,"b'a:1:{i:0;s:29:""administer site configuration"";}'",drupal_get_form,"b'a:1:{i:0;s:34:""system_configure_date_formats_form"";}'",,63,6,1,admin/config/regional/date-time/formats,admin/config/regional/date-time,Add format,t,,,a:0:{},388,Allow users to add additional date formats.,,-10,modules/system/system.admin.inc
admin/config/regional/date-time/formats/lookup,b'',b'',user_access,"b'a:1:{i:0;s:29:""administer site configuration"";}'",system_date_time_lookup,b'a:0:{}',,63,6,0,,admin/config/regional/date-time/formats/lookup,Date and time lookup,t,,,a:0:{},0,,,0,modules/system/system.admin.inc
admin/config/regional/date-time/types,b'',b'',user_access,"b'a:1:{i:0;s:29:""administer site configuration"";}'",drupal_get_form,"b'a:1:{i:0;s:25:""system_date_time_settings"";}'",,31,5,1,admin/config/regional/date-time,admin/config/regional/date-time,Types,t,,,a:0:{},140,Configure display formats for date and time.,,-10,modules/system/system.admin.inc
admin/config/regional/date-time/types/%/delete,b'a:1:{i:5;N;}',b'',user_access,"b'a:1:{i:0;s:29:""administer site configuration"";}'",drupal_get_form,"b'a:2:{i:0;s:35:""system_delete_date_format_type_form"";i:1;i:5;}'",,125,7,0,,admin/config/regional/date-time/types/%/delete,Delete date type,t,,,a:0:{},6,Allow users to delete a configured date type.,,0,modules/system/system.admin.inc
admin/config/regional/date-time/types/add,b'',b'',user_access,"b'a:1:{i:0;s:29:""administer site configuration"";}'",drupal_get_form,"b'a:1:{i:0;s:32:""system_add_date_format_type_form"";}'",,63,6,1,admin/config/regional/date-time/types,admin/config/regional/date-time,Add date type,t,,,a:0:{},388,Add new date type.,,-10,modules/system/system.admin.inc
admin/config/regional/settings,b'',b'',user_access,"b'a:1:{i:0;s:29:""administer site configuration"";}'",drupal_get_form,"b'a:1:{i:0;s:24:""system_regional_settings"";}'",,15,4,0,,admin/config/regional/settings,Regional settings,t,,,a:0:{},6,Settings for the site's default time zone and country.,,-20,modules/system/system.admin.inc
admin/config/search,b'',b'',user_access,"b'a:1:{i:0;s:27:""access administration pages"";}'",system_admin_menu_block_page,b'a:0:{}',,7,3,0,,admin/config/search,Search and metadata,t,,,a:0:{},6,"Local site search, metadata and SEO.",left,-10,modules/system/system.admin.inc
admin/config/search/clean-urls,b'',b'',user_access,"b'a:1:{i:0;s:29:""administer site configuration"";}'",drupal_get_form,"b'a:1:{i:0;s:25:""system_clean_url_settings"";}'",,15,4,0,,admin/config/search/clean-urls,Clean URLs,t,,,a:0:{},6,Enable or disable clean URLs for your site.,,5,modules/system/system.admin.inc
admin/config/search/clean-urls/check,b'',b'',1,b'a:0:{}',drupal_json_output,"b'a:1:{i:0;a:1:{s:6:""status"";b:1;}}'",,31,5,0,,admin/config/search/clean-urls/check,Clean URL check,t,,,a:0:{},0,,,0,modules/system/system.admin.inc
admin/config/search/metatags,b'',b'',user_access,"b'a:1:{i:0;s:20:""administer meta tags"";}'",metatag_config_overview,b'a:0:{}',,15,4,0,,admin/config/search/metatags,Metatag,t,,,a:0:{},6,Configure Metatag defaults.,,0,profiles/haskala/modules/contrib/metatag/metatag.admin.inc
admin/config/search/metatags/bulk-revert,b'',b'',user_access,"b'a:1:{i:0;s:20:""administer meta tags"";}'",drupal_get_form,"b'a:1:{i:0;s:24:""metatag_bulk_revert_form"";}'",,31,5,1,admin/config/search/metatags,admin/config/search/metatags,Bulk revert,t,,,a:0:{},132,,,40,profiles/haskala/modules/contrib/metatag/metatag.admin.inc
admin/config/search/metatags/config,b'',b'',user_access,"b'a:1:{i:0;s:20:""administer meta tags"";}'",metatag_config_overview,b'a:0:{}',,31,5,1,admin/config/search/metatags,admin/config/search/metatags,Defaults,t,,,a:0:{},140,,,-10,profiles/haskala/modules/contrib/metatag/metatag.admin.inc
admin/config/search/metatags/config/%,"b'a:1:{i:5;s:19:""metatag_config_load"";}'",b'',user_access,"b'a:1:{i:0;s:20:""administer meta tags"";}'",drupal_get_form,"b'a:2:{i:0;s:24:""metatag_config_edit_form"";i:1;i:5;}'",,62,6,0,,admin/config/search/metatags/config/%,,metatag_config_title,a:1:{i:0;i:5;},,a:0:{},6,,,0,profiles/haskala/modules/contrib/metatag/metatag.admin.inc
admin/config/search/metatags/config/%/delete,"b'a:1:{i:5;s:19:""metatag_config_load"";}'",b'',metatag_config_access,"b'a:2:{i:0;s:6:""delete"";i:1;i:5;}'",drupal_get_form,"b'a:2:{i:0;s:26:""metatag_config_delete_form"";i:1;i:5;}'",,125,7,0,,admin/config/search/metatags/config/%/delete,Delete,t,,,a:0:{},6,,,0,profiles/haskala/modules/contrib/metatag/metatag.admin.inc
admin/config/search/metatags/config/%/disable,"b'a:1:{i:5;s:19:""metatag_config_load"";}'",b'',metatag_config_access,"b'a:2:{i:0;s:7:""disable"";i:1;i:5;}'",metatag_config_disable,b'a:1:{i:0;i:5;}',,125,7,0,,admin/config/search/metatags/config/%/disable,Disable,t,,,a:0:{},6,,,0,profiles/haskala/modules/contrib/metatag/metatag.admin.inc
admin/config/search/metatags/config/%/edit,"b'a:1:{i:5;s:19:""metatag_config_load"";}'",b'',user_access,"b'a:1:{i:0;s:20:""administer meta tags"";}'",drupal_get_form,"b'a:2:{i:0;s:24:""metatag_config_edit_form"";i:1;i:5;}'",,125,7,1,admin/config/search/metatags/config/%,admin/config/search/metatags/config/%,Edit,t,,,a:0:{},140,,,-10,profiles/haskala/modules/contrib/metatag/metatag.admin.inc
admin/config/search/metatags/config/%/enable,"b'a:1:{i:5;s:19:""metatag_config_load"";}'",b'',metatag_config_access,"b'a:2:{i:0;s:6:""enable"";i:1;i:5;}'",metatag_config_enable,b'a:1:{i:0;i:5;}',,125,7,0,,admin/config/search/metatags/config/%/enable,Enable,t,,,a:0:{},6,,,0,profiles/haskala/modules/contrib/metatag/metatag.admin.inc
admin/config/search/metatags/config/%/export,"b'a:1:{i:5;s:19:""metatag_config_load"";}'",b'',user_access,"b'a:1:{i:0;s:20:""administer meta tags"";}'",metatag_config_export_form,b'a:1:{i:0;i:5;}',,125,7,1,admin/config/search/metatags/config/%,admin/config/search/metatags/config/%,Export,t,,,a:0:{},132,,,10,profiles/haskala/modules/contrib/metatag/metatag.admin.inc
admin/config/search/metatags/config/%/revert,"b'a:1:{i:5;s:19:""metatag_config_load"";}'",b'',metatag_config_access,"b'a:2:{i:0;s:6:""revert"";i:1;i:5;}'",drupal_get_form,"b'a:2:{i:0;s:26:""metatag_config_delete_form"";i:1;i:5;}'",,125,7,1,admin/config/search/metatags/config/%,admin/config/search/metatags/config/%,Revert,t,,,a:0:{},132,,,0,profiles/haskala/modules/contrib/metatag/metatag.admin.inc
admin/config/search/metatags/config/add,b'',b'',user_access,"b'a:1:{i:0;s:20:""administer meta tags"";}'",drupal_get_form,"b'a:1:{i:0;s:23:""metatag_config_add_form"";}'",,63,6,1,admin/config/search/metatags/config,admin/config/search/metatags,Add a Metatag default,t,,,a:0:{},388,,,0,profiles/haskala/modules/contrib/metatag/metatag.admin.inc
admin/config/search/metatags/settings,b'',b'',user_access,"b'a:1:{i:0;s:20:""administer meta tags"";}'",drupal_get_form,"b'a:1:{i:0;s:27:""metatag_admin_settings_form"";}'",,31,5,1,admin/config/search/metatags,admin/config/search/metatags,Advanced settings,t,,,a:0:{},132,,,30,profiles/haskala/modules/contrib/metatag/metatag.admin.inc
admin/config/search/path,b'',b'',user_access,"b'a:1:{i:0;s:22:""administer url aliases"";}'",path_admin_overview,b'a:0:{}',,15,4,0,,admin/config/search/path,URL aliases,t,,,a:0:{},6,Change your site's URL paths by aliasing them.,,-5,modules/path/path.admin.inc
admin/config/search/path/add,b'',b'',user_access,"b'a:1:{i:0;s:22:""administer url aliases"";}'",path_admin_edit,b'a:0:{}',,31,5,1,admin/config/search/path,admin/config/search/path,Add alias,t,,,a:0:{},388,,,0,modules/path/path.admin.inc
admin/config/search/path/delete/%,"b'a:1:{i:5;s:9:""path_load"";}'",b'',user_access,"b'a:1:{i:0;s:22:""administer url aliases"";}'",drupal_get_form,"b'a:2:{i:0;s:25:""path_admin_delete_confirm"";i:1;i:5;}'",,62,6,0,,admin/config/search/path/delete/%,Delete alias,t,,,a:0:{},6,,,0,modules/path/path.admin.inc
admin/config/search/path/delete_bulk,b'',b'',user_access,"b'a:1:{i:0;s:22:""administer url aliases"";}'",drupal_get_form,"b'a:1:{i:0;s:21:""pathauto_admin_delete"";}'",,31,5,1,admin/config/search/path,admin/config/search/path,Delete aliases,t,,,a:0:{},132,,,40,profiles/haskala/modules/contrib/pathauto/pathauto.admin.inc
admin/config/search/path/edit/%,"b'a:1:{i:5;s:9:""path_load"";}'",b'',user_access,"b'a:1:{i:0;s:22:""administer url aliases"";}'",path_admin_edit,b'a:1:{i:0;i:5;}',,62,6,0,,admin/config/search/path/edit/%,Edit alias,t,,,a:0:{},6,,,0,modules/path/path.admin.inc
admin/config/search/path/list,b'',b'',user_access,"b'a:1:{i:0;s:22:""administer url aliases"";}'",path_admin_overview,b'a:0:{}',,31,5,1,admin/config/search/path,admin/config/search/path,List,t,,,a:0:{},140,,,-10,modules/path/path.admin.inc
admin/config/search/path/patterns,b'',b'',user_access,"b'a:1:{i:0;s:19:""administer pathauto"";}'",drupal_get_form,"b'a:1:{i:0;s:22:""pathauto_patterns_form"";}'",,31,5,1,admin/config/search/path,admin/config/search/path,Patterns,t,,,a:0:{},132,,,10,profiles/haskala/modules/contrib/pathauto/pathauto.admin.inc
admin/config/search/path/settings,b'',b'',user_access,"b'a:1:{i:0;s:19:""administer pathauto"";}'",drupal_get_form,"b'a:1:{i:0;s:22:""pathauto_settings_form"";}'",,31,5,1,admin/config/search/path,admin/config/search/path,Settings,t,,,a:0:{},132,,,20,profiles/haskala/modules/contrib/pathauto/pathauto.admin.inc
admin/config/search/path/update_bulk,b'',b'',user_access,"b'a:1:{i:0;s:22:""administer url aliases"";}'",drupal_get_form,"b'a:1:{i:0;s:25:""pathauto_bulk_update_form"";}'",,31,5,1,admin/config/search/path,admin/config/search/path,Bulk update,t,,,a:0:{},132,,,30,profiles/haskala/modules/contrib/pathauto/pathauto.admin.inc
admin/config/search/search_api,b'',b'',user_access,"b'a:1:{i:0;s:21:""administer search_api"";}'",search_api_admin_overview,b'a:0:{}',,15,4,0,,admin/config/search/search_api,Search API,t,,,a:0:{},6,Create and configure search engines.,,0,profiles/haskala/modules/contrib/search_api/search_api.admin.inc
admin/config/search/search_api/add_index,b'',b'',user_access,"b'a:1:{i:0;s:21:""administer search_api"";}'",drupal_get_form,"b'a:1:{i:0;s:26:""search_api_admin_add_index"";}'",,31,5,1,admin/config/search/search_api,admin/config/search/search_api,Add index,t,,,a:0:{},388,Create a new search index.,,0,profiles/haskala/modules/contrib/search_api/search_api.admin.inc
admin/config/search/search_api/add_server,b'',b'',user_access,"b'a:1:{i:0;s:21:""administer search_api"";}'",drupal_get_form,"b'a:1:{i:0;s:27:""search_api_admin_add_server"";}'",,31,5,1,admin/config/search/search_api,admin/config/search/search_api,Add server,t,,,a:0:{},388,Create a new search server.,,-1,profiles/haskala/modules/contrib/search_api/search_api.admin.inc
admin/config/search/search_api/index/%,"b'a:1:{i:5;s:21:""search_api_index_load"";}'",b'',user_access,"b'a:1:{i:0;s:21:""administer search_api"";}'",search_api_admin_index_view,b'a:1:{i:0;i:5;}',,62,6,0,,admin/config/search/search_api/index/%,View index,search_api_admin_item_title,a:1:{i:0;i:5;},,a:0:{},6,View index details.,,0,profiles/haskala/modules/contrib/search_api/search_api.admin.inc
admin/config/search/search_api/index/%/delete,"b'a:1:{i:5;s:21:""search_api_index_load"";}'",b'',search_api_access_delete_page,b'a:1:{i:0;i:5;}',drupal_get_form,"b'a:4:{i:0;s:24:""search_api_admin_confirm"";i:1;s:5:""index"";i:2;s:6:""delete"";i:3;i:5;}'",,125,7,2,admin/config/search/search_api/index/%,admin/config/search/search_api/index/%,Delete,search_api_title_delete_page,a:1:{i:0;i:5;},,a:0:{},132,Delete index.,,10,profiles/haskala/modules/contrib/search_api/search_api.admin.inc
admin/config/search/search_api/index/%/disable,"b'a:1:{i:5;s:21:""search_api_index_load"";}'",b'',search_api_access_disable_page,b'a:1:{i:0;i:5;}',search_api_admin_index_view,b'a:2:{i:0;i:5;i:1;i:6;}',,125,7,2,admin/config/search/search_api/index/%,admin/config/search/search_api/index/%,Disable,t,,,a:0:{},132,Disable index.,,8,profiles/haskala/modules/contrib/search_api/search_api.admin.inc
admin/config/search/search_api/index/%/edit,"b'a:1:{i:5;s:21:""search_api_index_load"";}'",b'',user_access,"b'a:1:{i:0;s:21:""administer search_api"";}'",drupal_get_form,"b'a:2:{i:0;s:27:""search_api_admin_index_edit"";i:1;i:5;}'",,125,7,3,admin/config/search/search_api/index/%,admin/config/search/search_api/index/%,Edit,t,,,a:0:{},132,Edit index settings.,,-6,profiles/haskala/modules/contrib/search_api/search_api.admin.inc
admin/config/search/search_api/index/%/fields,"b'a:1:{i:5;s:21:""search_api_index_load"";}'",b'',user_access,"b'a:1:{i:0;s:21:""administer search_api"";}'",drupal_get_form,"b'a:2:{i:0;s:29:""search_api_admin_index_fields"";i:1;i:5;}'",,125,7,3,admin/config/search/search_api/index/%,admin/config/search/search_api/index/%,Fields,t,,,a:0:{},132,Select indexed fields.,,-4,profiles/haskala/modules/contrib/search_api/search_api.admin.inc
